id,currentLocationX,currentLocationY,floor,capabilities,centerFreq0,centerFreq1,channelWidth,frequency,RSS,roomNumber,MAC,,,,,
6384,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-73,134,34:fc:b9:60:d5:90,,,,,
6385,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-71,134,44:48:c1:be:30:10,,,,,
6386,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-72,134,44:48:c1:be:30:10,,,,,
6387,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-73,134,44:48:c1:be:30:10,,,,,
6388,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5220,-93,134,44:48:c1:be:32:10,,,,,
6389,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5220,-93,134,44:48:c1:be:32:10,,,,,
6390,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-62,134,f0:5c:19:f8:81:90,,,,,
6391,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-60,134,f0:5c:19:f8:81:90,,,,,
6392,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-68,134,f0:5c:19:f8:81:90,,,,,
6393,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-82,134,34:fc:b9:60:db:e0,,,,,
6394,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-75,134,34:fc:b9:60:db:e0,,,,,
6395,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-74,134,34:fc:b9:60:db:e0,,,,,
6396,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5795,0,1,5785,-44,134,24:de:c6:3f:f0:38,,,,,
6397,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5795,0,1,5785,-50,134,24:de:c6:3f:f0:38,,,,,
6398,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5795,0,1,5785,-45,134,24:de:c6:3f:f0:38,,,,,
